Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
t-H13COOH	Formic Acid	70.13300	0.0001			19(5,14)-19(5,15)	-11.13890		196.09320	282.13275	196.09554	282.13612	CDMS
17OO	Molecular oxygen	70.15190	0.0278			N=2-2,J=3-3,F=3/2-5/2	-14.02920		8.25200	11.87272	8.25434	11.87609	JPL
N18O	Nitric oxide	70.19560	0.0007			J=13/2-13/2,&Omega;=3/2,F=17/2--15/2+	-13.67140		99.99630	143.87331	99.99864	143.87668	CDMS
NO,v=1	Nitric oxide	70.28360	0.0045			J=13/2-13/2,&Omega;=3/2,F=17/2--15/2+	-17.56460		1980.38180	2849.34620	1980.38414	2849.34958	CDMS
NO	Nitric oxide	70.34230	0.0007			J=13/2-13/2,&Omega;=3/2,F=17/2--15/2+	-13.65870		105.38450	151.62577	105.38685	151.62915	CDMS
CH3OHvt=0-2	Methanol	70.43400	0.037			32(2,30)-32(2,31)A,vt=2	-15.46000		1455.71340	2094.43482	1455.71575	2094.43820	CDMS
t-HONO	Trans - HONO	70.50560	0.0012			22(5,17)-22(5,18)	-11.49170		266.44370	383.35085	266.44605	383.35423	JPL
H2CO	Formaldehyde	70.61430	0.0016			44(8,36)-44(8,37)	-15.83420		2918.57820	4199.15885	2918.58056	4199.16224	JPL
H2CO	Formaldehyde	70.61710	0.0007			44(8,36)-44(8,37)	-15.83390		2918.57730	4199.15755	2918.57966	4199.16094	CDMS
17OH	Hydroxyl radical	70.76600	0.0946			N=5-5,J+1/2=9/2-9/2,p=-1-1,F1=5-5,F+1/2=13/2-11/2	-12.56690		606.50750	872.63468	606.50986	872.63808	JPL
H2C3S	Propadienthione	70.78640	0.0043			2(1,1)-2(1,2)	-11.03690		12.54170	18.04460	12.54406	18.04800	CDMS
t-DCOOH	Formic Acid	70.79770	0			2(2,0)-2(2,1)	-10.70490		8.43370	12.13414	8.43606	12.13754	JPL
CH318OHvt=0,1&2	Methanol	70.85200	0.2			33(2,32)-33(2,31)A,vt=2	-15.24300		1468.52300	2112.86487	1468.52536	2112.86827	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	70.88270	0.0001			8(4,4)-8(4,5)	-11.88040		322.22740	463.61068	322.22976	463.61409	JPL
SiC2v=0	Silicon Carbide	70.88850	0.0148			17(6,11)-17(6,12)	-9.94660		169.28650	243.56411	169.28886	243.56751	JPL
N18O	Nitric oxide	70.93600	0.0004			J=17/2-17/2,&Omega;=1/2,F=17/2+-15/2-	-14.68620		222.57340	320.23556	222.57577	320.23896	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	70.94810	0.0001			24(8,16)-24(8,17)	-11.55650		225.65350	324.66318	225.65587	324.66659	JPL
NH2CH2CH2OHv=0	Aminoethanol	71.00990	0.0001			8(4,4)-8(4,5)	-11.24360		17.23710	24.80020	17.23947	24.80361	JPL
H2CO	Formaldehyde			71.13920	0.0002	2(2,0)-2(2,1)	-9.75740		40.04020	57.60858	40.04257	57.61200	CDMS
H2CO	Formaldehyde			71.14000	0.001	2(2,0)-2(2,1)	-9.75770		40.04020	57.60858	40.04257	57.61200	JPL
NH2CH2CH2OHv27=1	Aminoethanol	71.20670	0			2(2,0)-2(2,1)	-11.47530		106.28470	152.91910	106.28708	152.92251	JPL
NO,v=1	Nitric oxide	71.23260	0.001			J=17/2-17/2,&Omega;=1/2,F=17/2+-17/2-	-16.87670		2102.81580	3025.50256	2102.81818	3025.50598	CDMS
N18O	Nitric oxide	71.40830	0.0005			J=11/2-11/2,&Omega;=3/2,F=15/2--13/2+	-13.67130		76.19480	109.62803	76.19718	109.63146	CDMS
NH2CH2CH2OHv27=2	Aminoethanol	71.46280	0.0002			32(10,22)-32(10,23)	-11.80000		374.70210	539.10964	374.70448	539.11307	JPL
NO,v=1	Nitric oxide	71.48380	0.004			J=11/2-11/2,&Omega;=3/2,F=15/2--13/2+	-17.56260		1955.55450	2813.62502	1955.55688	2813.62845	CDMS
NO	Nitric oxide	71.54820	0.0006			J=11/2-11/2,&Omega;=3/2,F=15/2--13/2+	-13.65600		80.30010	115.53468	80.30249	115.53812	CDMS
17OO	Molecular oxygen	71.55220	0.0323			N=7-7,J=6-6,F=9/2-7/2	-14.72080		77.94400	112.14338	77.94639	112.14682	JPL
H2SO4	Sulfuric acid	71.56360	0.0063			58(27,32)-58(26,32)	-11.42730		572.06750	823.07279	572.06989	823.07623	JPL
CH318OHvt=0,1&2	Methanol	71.93600	0			12(3,9)-12(3,10)A,vt=0	-11.64800		155.41700	223.60911	155.41940	223.61256	CDMS
NO,v=1	Nitric oxide	71.99160	0.001			J=17/2-17/2,&Omega;=1/2,F=15/2+-15/2-	-16.91950		2102.81550	3025.50213	2102.81790	3025.50559	CDMS
N17O	Nitric oxide	72.08560	0.0156			J=3/2-3/2,&Omega;=3/2,F1=3/2+-5/2-,F2=5/2+-7/2-	-13.36960		133.23090	191.69079	133.23330	191.69425	CDMS
HDCO	Formaldehyde	72.44830	0			10(4,6)-10(4,7)	-9.95810		206.82450	297.57626	206.82692	297.57973	CDMS
HDCO	Formaldehyde	72.45440	0.0011			10(4,6)-10(4,7)	-9.95520		206.99570	297.81893	206.99812	297.82240	JPL
NH2CH2CH2OHv26=1	Aminoethanol	72.46310	0.0002			12(5,7)-12(5,8)	-11.67330		242.20140	348.47178	242.20382	348.47526	JPL
H13CN,v2=3	Hydrogen cyanide 	72.76470	0.0055			12(3)-12(-3	-13.47350		2352.05180	3384.09991	2352.05423	3384.10340	CDMS
NO	Nitric oxide			72.78600	0.001	J=15/2,&Omega;=3/2,F=15/2+-15/2-	-12.85950		228.08430	328.16054	228.08673	328.16404	JPL
NO	Nitric oxide			72.78600	0.001	J=17/2-17/2,&Omega;=1/2,F=17/2+-17/2-	-12.85970		228.08400	328.16413	228.08643	328.16763	CDMS
CH318OHvt=0,1&2	Methanol	72.92800	0.03			24(3,21)-24(3,22)A,vt=1	-13.22500		736.66000	1059.88332	736.66243	1059.88682	CDMS
CH318OHvt=0,1&2	Methanol	73.09900	0.01			35(5,30)-35(5,31)A,vt=0	-13.64300		1068.10500	1536.75600	1068.10744	1536.75951	CDMS
N18O	Nitric oxide	73.14620	0.0004			J=13/2-13/2,&Omega;=1/2,F=15/2--13/2+	-13.68420		55.56560	79.94702	55.56804	79.95053	CDMS
NO,v=1	Nitric oxide	73.20550	0.0036			J=13/2-13/2,&Omega;=1/2,F=15/2--13/2+	-17.57390		1934.03630	2782.66493	1934.03874	2782.66845	CDMS
c-DCOOH	Formic Acid	73.23720	0.0001			11(4,7)-11(4,8)	-10.32930		75.17090	108.15354	75.17334	108.15705	JPL
NO,v=1	Nitric oxide	73.25300	0.0272			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-16.61060		2000.72560	2878.61658	2000.72804	2878.62010	CDMS
NO	Nitric oxide	73.27640	0.0005			J=13/2-13/2,&Omega;=1/2,F=15/2--13/2+	-13.66680		58.55930	84.25432	58.56174	84.25784	CDMS
NO	Nitric oxide			73.28600	0.003	J=3/2,&Omega;=3/2,F=5/2+-3/2-	-12.60940		124.91300	179.72091	124.91544	179.72443	JPL
H2SO4	Sulfuric acid	73.28810	0.2851			82(38,45)-82(37,45)	-11.76560		1136.81550	1635.61451	1136.81794	1635.61803	JPL
NO	Nitric oxide			73.28900	0.001	J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-12.60950		124.91270	179.72268	124.91514	179.72620	CDMS
CH3OHvt=0-2	Methanol	73.45700	0.006			39(4,35)-39(4,36)A,vt=1	-14.96280		1590.35520	2288.15322	1590.35765	2288.15675	CDMS
N17O	Nitric oxide	73.48180	0.0157			J=3/2-3/2,&Omega;=3/2,F1=3/2+-5/2-,F2=3/2+-5/2-	-13.45730		133.22980	191.68921	133.23225	191.69274	CDMS
N18O	Nitric oxide	73.48620	0.0007			J=3/2-3/2,&Omega;=3/2,F=7/2--5/2+	-12.62870		124.82000	179.58931	124.82245	179.59283	CDMS
NH2CH2CH2OHv26+v27	Aminoethanol	73.48650	0.0002			2(2,0)-2(2,1)	-11.78950		270.27910	388.86910	270.28155	388.87263	JPL
NO	Nitric oxide			73.54000	0.001	J=15/2,&Omega;=3/2,F=13/2+-13/2-	-12.90260		228.08400	328.16011	228.08645	328.16364	JPL
NO	Nitric oxide			73.54000	0.001	J=17/2-17/2,&Omega;=1/2,F=15/2+-15/2-	-12.90270		228.08380	328.16385	228.08625	328.16738	CDMS
H2SO4	Sulfuric acid	73.58940	0.0056			20(9,12)-20(8,12)	-10.87450		70.16270	100.94789	70.16515	100.95143	JPL
17OO	Molecular oxygen	73.70570	0.0343			N=6-6,J=7-7,F=9/2-11/2	-14.59000		58.39980	84.02380	58.40226	84.02734	JPL
t-HCOOH	Formic Acid	73.71670	0			7(3,4)-7(3,5)	-10.78940		40.89910	58.84434	40.90156	58.84788	CDMS
H2CO	Formaldehyde	73.73040	0.0001			27(6,21)-27(6,22)	-12.27630		1211.63490	1743.26232	1211.63736	1743.26586	CDMS
H2CO	Formaldehyde	73.73070	0.0002			27(6,21)-27(6,22)	-12.27650		1211.63510	1743.26261	1211.63756	1743.26615	JPL
