Species	Chemical Name	Freq-MHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-MHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	Linelist
H&alpha;	Hydrogen Recombination Line	70.04400	0			H(454)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	70.07200	0			He(454)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	70.07800	0			C(454)&alpha;	0.00000		0.00000	Recomb
t-H13COOH	Formic Acid	70.13300	0.0001			19(5,14)-19(5,15)	-11.13890		196.09320	CDMS
17OO	Molecular oxygen	70.15190	0.0278			N=2-2,J=3-3,F=3/2-5/2	-14.02920		8.25200	JPL
ND3	Ammonia	70.15200	9.196			16(3)0s-16(-3)0a	0.00000		1367.36000	SLAIM
N18O	Nitric oxide	70.19560	0.0007			J=13/2-13/2,&Omega;=3/2,F=17/2--15/2+	-13.67140		99.99630	CDMS
NO,v=1	Nitric oxide	70.28360	0.0045			J=13/2-13/2,&Omega;=3/2,F=17/2--15/2+	-17.56460		1980.38180	CDMS
NO	Nitric oxide	70.34230	0.0007			J=13/2-13/2,&Omega;=3/2,F=17/2--15/2+	-13.65870		105.38450	CDMS
CH3OHvt=0-2	Methanol	70.43400	0.037			32(2,30)-32(2,31)A,vt=2	-15.46000		1455.71340	CDMS
t-HONO	Trans - HONO	70.50560	0.0012			22(5,17)-22(5,18)	-11.49170		266.44370	JPL
H&alpha;	Hydrogen Recombination Line	70.50800	0			H(453)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	70.53700	0			He(453)&alpha;	0.00000		0.00000	Recomb
C&alpha;	Carbon Recombination Line	70.54300	0			C(453)&alpha;	0.00000		0.00000	Recomb
H2CO	Formaldehyde	70.61430	0.0016			44(8,36)-44(8,37)	-15.83420		2918.57820	JPL
H2CO	Formaldehyde	70.61710	0.0007			44(8,36)-44(8,37)	-15.83390		2918.57730	CDMS
17OH	Hydroxyl radical	70.76600	0.0946			N=5-5,J+1/2=9/2-9/2,p=-1-1,F1=5-5,F+1/2=13/2-11/2	-12.56690		606.50750	JPL
H2C3S	Propadienthione	70.78640	0.0043			2(1,1)-2(1,2)	-11.03690		12.54170	CDMS
t-DCOOH	Formic Acid	70.79770	0			2(2,0)-2(2,1)	-10.70490		8.43370	JPL
CH318OHvt=0,1&2	Methanol	70.85200	0.2			33(2,32)-33(2,31)A,vt=2	-15.24300		1468.52300	CDMS
NH2CH2CH2OHv25=1	Aminoethanol	70.88270	0.0001			8(4,4)-8(4,5)	-11.88040		322.22740	JPL
SiC2v=0	Silicon Carbide	70.88850	0.0148			17(6,11)-17(6,12)	-9.94660		169.28650	JPL
N18O	Nitric oxide	70.93600	0.0004			J=17/2-17/2,&Omega;=1/2,F=17/2+-15/2-	-14.68620		222.57340	CDMS
NH2CH2CH2OHv27=1	Aminoethanol	70.94810	0.0001			24(8,16)-24(8,17)	-11.55650		225.65350	JPL
H&alpha;	Hydrogen Recombination Line	70.97600	0			H(452)&alpha;	0.00000		0.00000	Recomb
He&alpha;	Helium Recombination Line	71.00500	0			He(452)&alpha;	0.00000		0.00000	Recomb
NH2CH2CH2OHv=0	Aminoethanol	71.00990	0.0001			8(4,4)-8(4,5)	-11.24360		17.23710	JPL
C&alpha;	Carbon Recombination Line	71.01200	0			C(452)&alpha;	0.00000		0.00000	Recomb
H2CO	Formaldehyde	71.13900	0	71.14000	0	2(2,0)-2(2,1)	0.00000		40.04000	SLAIM
H2CO	Formaldehyde			71.13920	0.0002	2(2,0)-2(2,1)	-9.75740		40.04020	CDMS
H2CO	Formaldehyde			71.14000	0.001	2(2,0)-2(2,1)	-9.75770		40.04020	JPL
NH2CH2CH2OHv27=1	Aminoethanol	71.20670	0			2(2,0)-2(2,1)	-11.47530		106.28470	JPL
NO,v=1	Nitric oxide	71.23260	0.001			J=17/2-17/2,&Omega;=1/2,F=17/2+-17/2-	-16.87670		2102.81580	CDMS
